ID,Fog Capacity,Edge Capacity,Cloud Capacity,Total Capacity,Total Weighted Capacity
1, 0.00000000,0.00000000,90022758966.47134400,90022758966.47134400,360416845080.32385000
2, 0.00000000,2336409.80582890,90004577600.46539300,90027941698.52368200,360456876693.29761000
3, 450000.43816622,0.00000000,90004577600.46539300,90027077622.37370300,360479036582.85803000
4, 0.00000000,9004577593.01450350,30740308.72111996,90076516238.86615000,720771272462.47839000
5, 0.00000000,9006914002.82033160,12558942.71516311,90081698970.91848800,720794961239.96973000
6, 450000.43816622,9004577593.01450350,6455448.57459915,90074731400.62794500,720790401854.31824000
7, 1804528767.86402890,7359374.62240005,67065763.72059147,90367097903.14604200,1083983317798.57390000
8, 1804528767.86402890,9695784.42822895,48884397.71463463,90372280635.19836400,1084007006576.06510000
9, 1804978768.30219510,7359374.62240005,48884397.71463463,90371416559.04838600,1083993497811.88550000
10, 1804528767.86402890,0.00000000,43000097.00224789,90269438490.20369000,1083232233883.50130000
11, 1804528767.86402890,2336409.80582890,24818730.99629104,90274621222.25602700,1083255922660.99260000
12, 1804978768.30219510,0.00000000,24818730.99629104,90273757146.10604900,1083242413896.81300000
13, 1804571492.47334290,3700792.98202574,18181366.00595684,90283763919.49336200,1083424735792.39010000
14, 1804571492.47334290,6037202.78785465,0.00000000,90288946651.54568500,1083397349000.32310000
15, 1805021492.91150900,3700792.98202574,0.00000000,90288082575.39570600,1083383840236.14340000
16, 1866853088.08963780,0.00000000,170359591.01265717,93513013995.49453700,1122630846021.31420000
17, 1866853088.08963780,2336409.80582890,152178225.00670031,93518196727.54687500,1122654534798.80540000
18, 1867303088.52780390,0.00000000,152178225.00670031,93517332651.39689600,1122641026034.62570000
