ID,Node FE,Node EC,Node CE,Node EF,Node FF,Node EE,Node F,Node E,Node C
1, 667301.00000000, 3150601.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 90004650201.00000000
2, 667901.00000000, 3151801.00000000, 162801.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 90004689001.00000000
3, 669201.00000000, 3154701.00000000, 165201.00000000, 93301.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 90004776001.00000000
4, 687401.00000000, 167721.00000000, 164553.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 9004661401.00000000, 2674601.00000000
5, 687401.00000000, 167721.00000000, 164553.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 9004661401.00000000, 2674601.00000000
6, 688701.00000000, 170121.00000000, 166953.00000000, 74853.00000000, 0.00000000, 0.00000000, 0.00000000, 9004728701.00000000, 2708201.00000000
7, 234605.00000000, 523236.20000000, 523553.00000000, 269101.00000000, 0.00000000, 0.00000000, 1804583801.00000000, 2900401.00000000, 7403621.00000000
8, 234605.00000000, 523236.20000000, 523553.00000000, 269101.00000000, 0.00000000, 0.00000000, 1804583801.00000000, 2900401.00000000, 7403621.00000000
9, 234605.00000000, 523236.20000000, 523553.00000000, 269101.00000000, 0.00000000, 0.00000000, 1804583801.00000000, 2900401.00000000, 7403621.00000000
10, 233805.00000000, 524821.00000000, 521653.00000000, 233453.00000000, 0.00000000, 0.00000000, 1804566901.00000000, 0.00000000, 7724601.00000000
11, 233805.00000000, 524821.00000000, 521653.00000000, 233453.00000000, 0.00000000, 0.00000000, 1804566901.00000000, 0.00000000, 7724601.00000000
12, 233805.00000000, 524821.00000000, 521653.00000000, 233453.00000000, 0.00000000, 0.00000000, 1804566901.00000000, 0.00000000, 7724601.00000000
13, 235705.00000000, 525953.00000000, 0.00000000, 235353.00000000, 0.00000000, 235036.20000000, 1804604201.00000000, 2930921.00000000, 0.00000000
14, 235205.00000000, 0.00000000, 0.00000000, 234853.00000000, 0.00000000, 234536.20000000, 1804594701.00000000, 2924921.00000000, 0.00000000
15, 235205.00000000, 0.00000000, 0.00000000, 234853.00000000, 0.00000000, 234536.20000000, 1804594701.00000000, 2924921.00000000, 0.00000000
16, 955836.20000000, 2139936.20000000, 2140253.00000000, 956153.00000000, 956505.00000000, 0.00000000, 1867088701.00000000, 0.00000000, 30274921.00000000
17, 955836.20000000, 2139936.20000000, 2140253.00000000, 956153.00000000, 956505.00000000, 0.00000000, 1867088701.00000000, 0.00000000, 30274921.00000000
18, 955836.20000000, 2139936.20000000, 2140253.00000000, 956153.00000000, 956505.00000000, 0.00000000, 1867088701.00000000, 0.00000000, 30274921.00000000
