ID,Fog Capacity,Edge Capacity,Cloud Capacity,Total Capacity,Total Weighted Capacity
1, 0.00000000,0.00000000,90022908702.00000000,90022908702.00000000,360407947048.00000000
2, 0.00000000,2473301.00000000,90004689001.00000000,90029422011.00000000,360445172324.00000000
3, 450001.00000000,0.00000000,90004776001.00000000,90027276051.00000000,360431752844.00000000
4, 0.00000000,9004661401.00000000,20933102.00000000,90067547112.00000000,720718600188.00000000
5, 0.00000000,9007134702.00000000,2674601.00000000,90074021621.00000000,720752330244.00000000
6, 450001.00000000,9004728701.00000000,2708201.00000000,90072495261.00000000,720742226364.00000000
7, 1804583801.00000000,2900401.00000000,25662122.00000000,90283856182.00000000,1083342837672.00000000
8, 1804583801.00000000,5373702.00000000,7403621.00000000,90290330691.00000000,1083376567728.00000000
9, 1805033802.00000000,2900401.00000000,7403621.00000000,90288097731.00000000,1083353234148.00000000
10, 1804566901.00000000,0.00000000,25983102.00000000,90254328152.00000000,1083098298408.00000000
11, 1804566901.00000000,2473301.00000000,7724601.00000000,90260802661.00000000,1083132028464.00000000
12, 1805016902.00000000,0.00000000,7724601.00000000,90258569701.00000000,1083108694884.00000000
13, 1804604201.00000000,2930921.00000000,18258501.00000000,90277777761.00000000,1083316573626.00000000
14, 1804594701.00000000,5398222.00000000,0.00000000,90283717270.00000000,1083333499622.00000000
15, 1805044702.00000000,2924921.00000000,0.00000000,90281484310.00000000,1083310166042.00000000
16, 1867088701.00000000,0.00000000,48533422.00000000,93402968472.00000000,1120953769837.00000000
17, 1867088701.00000000,2473301.00000000,30274921.00000000,93409442981.00000000,1120987499893.00000000
18, 1867538702.00000000,0.00000000,30274921.00000000,93407210021.00000000,1120964166313.00000000
